"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","D","발달상권","1001261","서울 노원구 노원역_1","HL","상권축소","118","49","117","55"
"2021","3","D","발달상권","1001260","창동역","HL","상권축소","122","52","117","55"
"2021","3","D","발달상권","1001259","서울 강북구 수유역_3","HL","상권축소","119","53","117","55"
"2021","3","D","발달상권","1001258","등나무근린공원 주변","LL","다이나믹","107","52","117","55"
"2021","3","D","발달상권","1001257","서울 강북구 수유역_2","LL","다이나믹","109","51","117","55"
"2021","3","D","발달상권","1001256","서울 강북구 수유역_1","LL","다이나믹","115","54","117","55"
"2021","3","D","발달상권","1001255","서울 은평구 연신내역_3","HL","상권축소","122","44","117","55"
"2021","3","D","발달상권","1001254","서울 은평구 연신내역_2","LL","다이나믹","102","50","117","55"
"2021","3","D","발달상권","1001253","서울 은평구 연신내역_1","HH","정체","131","68","117","55"
"2021","3","D","발달상권","1001252","서울 성북구 미아삼거리역_2","LH","상권확장","116","57","117","55"
"2021","3","D","발달상권","1001251","서울 강북구 미아삼거리역_1","LL","다이나믹","103","54","117","55"
"2021","3","D","발달상권","1001250","서울 은평구 불광역_3","HL","상권축소","119","49","117","55"
"2021","3","D","발달상권","1001249","서울 은평구 불광역_2","HH","정체","142","67","117","55"
"2021","3","D","발달상권","1001248","서울 은평구 불광역_1","HL","상권축소","121","50","117","55"
"2021","3","D","발달상권","1001247","미아사거리_2","HH","정체","119","59","117","55"
"2021","3","D","발달상권","1001246","미아사거리_1","LL","다이나믹","101","54","117","55"
"2021","3","D","발달상권","1001245","서울 성북구 성신여대입구역","LL","다이나믹","108","51","117","55"
"2021","3","D","발달상권","1001244","경희대학교","LL","다이나믹","98","52","117","55"
"2021","3","D","발달상권","1001243","서울 성북구 안암역","LL","다이나믹","108","50","117","55"
"2021","3","D","발달상권","1001242","혜화역 대학로_3","LH","상권확장","108","55","117","55"
"2021","3","D","발달상권","1001241","혜화역 대학로_2","LL","다이나믹","115","51","117","55"
"2021","3","D","발달상권","1001240","혜화역 대학로_1","LL","다이나믹","102","54","117","55"
"2021","3","D","발달상권","1001239","디지털미디어시티","LL","다이나믹","70","36","117","55"
"2021","3","D","발달상권","1001238","서울 동대문구 청량리역","HH","정체","181","65","117","55"
"2021","3","D","발달상권","1001237","서울 종로구 경복궁역_2","HH","정체","122","58","117","55"
"2021","3","D","발달상권","1001236","서울 종로구 안국역_2","LH","상권확장","114","60","117","55"
"2021","3","D","발달상권","1001235","서울 종로구 안국역_1","HH","정체","124","64","117","55"
"2021","3","D","발달상권","1001234","서울 종로구 경복궁역_1","HH","정체","120","62","117","55"
"2021","3","D","발달상권","1001233","서울 종로구 종로3가역_3","HH","정체","152","69","117","55"
"2021","3","D","발달상권","1001232","서울 종로구 종로3가역_2","HH","정체","130","61","117","55"
"2021","3","D","발달상권","1001231","서울 동대문구 신설동역_2","HL","상권축소","136","51","117","55"
"2021","3","D","발달상권","1001230","인사동","HH","정체","161","72","117","55"
"2021","3","D","발달상권","1001229","서울 종로구 종로5가역_4","HH","정체","164","73","117","55"
"2021","3","D","발달상권","1001228","서울 종로구 종로5가역_3","HH","정체","146","61","117","55"
"2021","3","D","발달상권","1001227","종로구청","HH","정체","139","63","117","55"
"2021","3","D","발달상권","1001226","서울 종로구 종로5가역_2","HH","정체","136","64","117","55"
"2021","3","D","발달상권","1001225","신설동역","HL","상권축소","137","41","117","55"
"2021","3","D","발달상권","1001224","서울 동대문구 신설동역_1","LL","다이나믹","114","51","117","55"
"2021","3","D","발달상권","1001223","서울 종로구 광화문역_2","HH","정체","141","61","117","55"
"2021","3","D","발달상권","1001222","동묘앞역","HH","정체","133","55","117","55"
"2021","3","D","발달상권","1001221","장안동사거리","LL","다이나믹","108","48","117","55"
"2021","3","D","발달상권","1001220","서울 종로구 동대문역_2","HH","정체","123","62","117","55"
"2021","3","D","발달상권","1001219","서울 종로구 동대문역_1","HH","정체","156","61","117","55"
"2021","3","D","발달상권","1001218","동대문시장_2","HH","정체","155","74","117","55"
"2021","3","D","발달상권","1001217","서울 종로구 종로5가역_1","HH","정체","141","74","117","55"
"2021","3","D","발달상권","1001216","서울 종로구 종로3가역_1","HH","정체","145","61","117","55"
"2021","3","D","발달상권","1001215","서울 종로구 광화문역_1","HH","정체","154","73","117","55"
"2021","3","D","발달상권","1001214","종각역","HH","정체","166","60","117","55"
"2021","3","D","발달상권","1001213","종각역 젊음의 거리","HH","정체","123","59","117","55"
"2021","3","D","발달상권","1001212","서대문구 서대문역_1","HH","정체","133","60","117","55"
"2021","3","D","발달상권","1001211","동대문시장_1","HL","상권축소","159","52","117","55"
"2021","3","D","발달상권","1001210","시청역_2","HH","정체","150","69","117","55"
"2021","3","D","발달상권","1001209","서울시청","HH","정체","146","69","117","55"
"2021","3","D","발달상권","1001208","서울 중구 을지로3가역_2","HH","정체","160","74","117","55"
"2021","3","D","발달상권","1001207","서울 중구 신당역_2","HH","정체","133","65","117","55"
"2021","3","D","발달상권","1001206","서대문구 서대문역_2","HH","정체","135","63","117","55"
"2021","3","D","발달상권","1001205","동대문역사문화공원역","HH","정체","187","84","117","55"
