상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000198,3376772.0826850412,318.0,4037.0,17115.0,832.0,266914068.53773585,66.75,27.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
1000199,3376772.0826850412,476.0,3599.0,8148.0,1.0,199602386.57983193,55.75,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000200,3376772.0826850412,457.0,4156.0,7712.0,1.0,190799235.14660832,55.75,30.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0
1000201,3376772.0826850412,590.0,4523.0,7585.0,4.0,192074783.04237288,58.5,37.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000202,3376772.0826850412,561.0,4642.0,8320.0,76.0,201772261.4117647,58.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000203,3172981.743535989,397.0,2827.0,2944.0,1445.0,196402337.37027708,53.5,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1000204,3102403.969883641,182.0,3126.0,4462.0,7469.0,353073951.4175824,70.75,29.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1000205,3102403.969883641,240.0,3580.0,9197.0,875.0,245340440.325,65.5,39.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
1000206,3279791.638795987,375.0,3092.0,4654.0,0.0,158722724.72,55.75,16.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1000207,3115400.6282534553,438.0,3682.0,3303.0,0.0,126269809.69863014,52.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0
1000208,3051641.8696325496,809.0,3743.0,2422.0,216.0,151814533.3856613,46.0,17.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0
1000209,3807487.0260557053,138.0,1432.0,5598.0,3945.0,337249973.73913044,64.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000210,3807487.0260557053,455.0,4057.0,8025.0,3963.0,241759188.73846152,65.75,62.0,0.0,0.0,4.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1000211,3807487.0260557053,312.0,2357.0,4332.0,186.0,187463200.80769232,50.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000212,3376772.0826850412,364.0,3202.0,4489.0,4.0,188598892.9697802,55.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000213,3376772.0826850412,411.0,3388.0,7548.0,294.0,216835106.21167883,61.5,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000214,3376772.0826850412,781.0,7641.0,10163.0,253.0,188243047.60051218,56.0,70.0,8.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1000215,3172981.743535989,365.0,2605.0,11722.0,68.0,216200092.4082192,60.75,31.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0
1000216,3376772.0826850412,517.0,3822.0,8795.0,0.0,189998958.69245648,56.0,39.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
