상권_코드,리뷰_수,평균_별점,사장님_댓글_비율,맛있다_비율,친절_비율,분위기_비율,싸다_비율,비싸다_비율,F_제품_단가,D_제품_단가,맛_매력도_pca,SNS_언급량_pca,입소문_포토제닉_pca
1000608,3849.0,4.476227591582229,0.0270200051961548,0.995088651328649,0.794034854844332,0.7787693285112651,0.8729222120994892,0.8804945957442324,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000609,189.0,4.529100529100529,0.0529100529100529,0.966160251327148,0.3960142735725084,0.6786242122345165,1.8122317121741824,0.5656574865253869,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000610,8.0,4.5625,0.0,0.8613409787775045,1.559306202191752,1.187592371410404,0.0,0.0,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000611,8.0,4.5625,0.0,0.8613409787775045,1.559306202191752,1.187592371410404,0.0,0.0,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000612,519.0,4.5134874759152215,0.0057803468208092,0.995769917661855,0.5928768604351426,0.4210346750279659,0.754223602754573,0.7621662434050156,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000613,206.0,4.473300970873787,0.0485436893203883,0.9756289403628692,0.6661113873440494,0.3689607367488633,0.8709268908021556,0.6487212679204983,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000614,313.0,4.487220447284345,0.0,0.9649954309626568,0.6376715459442308,0.5160145767150637,1.0942868805141228,0.5123447202234734,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000615,305.0,4.459016393442623,0.0524590163934426,1.0430227371425955,0.7361970266085648,1.0435237886491415,0.6417082784092187,0.928883777463082,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000616,189.0,4.529100529100529,0.0529100529100529,0.966160251327148,0.3960142735725084,0.6786242122345165,1.8122317121741824,0.5656574865253869,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
1000617,1082.0,4.33641404805915,0.0249537892791127,0.9871190514640532,0.7724474347271525,0.6322118354273499,1.0551811263121391,0.8892637565431453,24988.55128205128,6494.397435897436,-0.06371601969989685,-2.2696175998248247,-0.188911774331436
